count,reg,ven_time,dist,ven_z,ven_rho,ven_phi,new_reg
2,11,86.79874505999614,0.0295118901199922,0.970385,0.551011,-0.77395,13
10,14,76.92206625468353,0.066058132509367,0.795557,0.829163,0.474071,15
14,13,96.2426590749726,0.0478931181499452,0.991038,0.622476,0.220275,15
15,11,115.14467977291338,0.0763629595458267,0.951379,0.356415,-1.017921,12
17,18,103.7808496065388,0.0633078992130776,0.755622,0.0,1.278551,17
22,13,122.82033870646367,0.0966902774129273,0.759741,0.154677,-1.058431,12
24,19,110.5995967166424,0.0919175934332847,0.623217,1.0,0.903165,22
25,19,142.2256469271259,0.0911684938542517,0.55316,1.0,1.318382,23
27,19,107.09868859660564,0.0519639771932112,0.830034,1.0,0.96101,16
29,16,96.21220154011688,0.0416478030802337,0.72826,0.382301,0.484998,15
31,19,102.20124171816096,0.0504408834363219,0.936576,0.599253,1.14816,17
32,10,118.21750299522854,0.064270605990457,0.587159,0.321048,-0.751527,19
33,12,137.17466464363076,0.1121245292872615,0.682527,0.442139,-0.6128,19
34,12,129.89068487904325,0.1061237697580864,0.904531,1.0,-0.343291,14
36,18,87.30414850633197,0.0409638970126639,0.960151,1.0,0.691028,16
37,12,101.13749956339116,0.0500289991267823,0.819754,0.456736,-0.03687,14
39,17,99.4725023774669,0.0896860047549338,0.561657,0.0,0.0,21
40,16,99.07876905526771,0.0955803381105354,0.849543,0.484625,0.795026,16
43,12,105.70315731177496,0.0577883146235499,0.809962,0.0,-1.265272,12
44,19,101.12233243437896,0.0347582648687578,0.777006,0.0,0.576424,16
48,19,112.72193787838344,0.0808364757567668,0.525115,0.482252,1.534983,23
50,18,97.11898699887018,0.0499097739977403,0.753179,0.248662,0.857819,16
54,19,89.19689593109527,0.0417199918621905,0.939213,0.071573,0.958585,16
56,13,123.1573089622844,0.0522628179245687,0.625599,0.299042,-0.823296,19
60,17,102.56759846214096,0.0489769969242819,0.762887,0.0,0.88247,16
61,14,104.48213392126422,0.0973508678425284,0.953064,0.434271,-1.068633,12
66,15,75.95766548091142,0.0781191309618228,0.917021,0.401688,-0.562868,13
68,16,110.06719101216618,0.0532109820243323,0.769601,0.599033,0.687412,16
70,18,108.16341436468848,0.0581016287293769,0.789152,0.234345,1.008945,17
72,12,103.41455330813298,0.0256993066162659,0.903051,0.410327,-1.081339,12
73,10,133.88123888480112,0.1024336777696022,0.596406,0.118767,-1.4729,18
74,17,107.48236712943276,0.0681395342588655,0.520711,1.0,0.679771,22
75,16,97.00942562563932,0.0802090512512786,0.832236,0.673645,1.081027,17
76,16,97.29640544399474,0.0553974108879894,0.724331,0.288864,-0.211351,14
78,16,101.53390773853684,0.0544142154770736,0.771605,1.0,0.036153,15
79,12,97.46658241744731,0.0191005648348946,0.992516,0.0,-0.457093,14
80,16,88.0730674186714,0.0991835348373428,0.883385,0.768895,0.899656,16
82,11,71.04766878248066,0.0618581375649613,0.986341,0.221004,0.0,15
84,12,125.9146453701559,0.0731726907403118,0.515702,0.491877,-0.485359,20
89,10,121.66272762169145,0.0398074552433828,0.99093,0.052098,-0.269533,14
90,15,102.91311418516744,0.0486330283703348,0.961837,0.0,-0.328943,14
91,19,112.3320180807408,0.0715906361614815,0.932499,1.0,0.610329,16
95,17,113.52509946859324,0.0705173989371864,0.92032,0.0,1.42738,17
97,17,77.79805650803053,0.058838313016061,0.969189,0.348046,0.140893,15
99,19,89.15313720034653,0.030797874400693,0.964783,0.459457,0.907995,16
100,19,128.70459674667285,0.0807809934933456,0.959532,0.0,0.948766,16
101,16,110.94879318332178,0.0564837863666435,0.721055,0.383474,0.503333,16
102,10,125.38464402674016,0.0211592880534802,0.979709,0.684855,-1.334902,12
103,18,108.7392889876388,0.0648119779752775,0.730887,0.0,1.108102,17
105,13,133.78224593553463,0.0528404918710692,0.692667,0.118765,-0.955444,19
106,10,91.40038455419052,0.044864769108381,0.853597,0.255308,-0.925599,13
107,16,93.57749946189644,0.0350045989237929,0.958771,0.0,0.957938,16
111,10,107.63246106072867,0.0587295221214573,0.756268,0.357015,-0.521778,13
112,11,79.657683823763,0.0477227676475259,0.989079,0.0,-0.53306,13
116,10,96.81976609988963,0.0685371321997792,0.962903,0.187536,-1.53422,12
119,17,91.4927645161477,0.0929515290322954,0.812526,0.872732,1.134572,17
